1594915927174 DEVICE_BOUNDARIES 798 1278
1594915927390 0 609 663 1
1594915927400 0 608 665 1
1594915928171 0 631 597 1
1594915928674 0 655 596 -1
1594915928706 0 652 597 -1
1594915928731 0 653 600 -1
1594915928872 0 659 616 1
1594915928897 0 656 615 1
1594915929841 0 395 917 1
1594915929867 0 393 915 1
1594915930331 0 145 679 -1
1594915930638 0 370 695 1
1594915930687 0 371 697 1
1594915930698 0 372 699 1
1594915930711 0 373 700 1
1594915930723 0 374 701 1
1594915930896 0 582 677 -1
1594915930932 0 583 679 -1
1594915930944 0 584 681 -1
1594915930958 0 586 685 -1
1594915931180 0 562 934 -1
1594915931239 0 564 935 -1
1594915932237 0 759 1216 1
1594915932249 0 757 1217 1
1594915932939 0 745 208 -1
1594915933001 0 744 210 -1
1594915933008 0 746 212 -1
1594915936878 0 652 946 1
1594915936900 0 654 945 1
1594915936914 0 655 944 1
1594915936924 0 657 942 1
1594915936937 0 659 938 1
1594915936949 0 661 932 1
1594915936961 0 664 926 1
1594915936975 0 666 920 1
1594915936985 0 668 915 1
1594915936998 0 671 909 1
1594915937032 0 674 904 1
1594915937038 0 678 899 1
1594915937038 0 681 894 1
1594915937048 0 683 890 1
1594915937065 0 684 887 1
1594915937073 0 686 883 1
1594915937085 0 689 879 1
1594915937099 0 692 874 1
1594915937109 0 695 870 1
1594915937122 0 698 866 1
1594915937146 0 701 862 1
1594915937195 0 714 861 1
1594915937209 0 716 860 1
1594915937221 0 718 858 1
1594915937232 0 720 857 1
1594915937245 0 722 856 1
1594915937259 0 724 855 1
1594915937269 0 726 854 1
1594915937282 0 727 852 1
1594915937294 0 728 851 1
1594915937307 0 730 850 1
1594915937319 0 731 848 1
1594915937333 0 732 847 1
1594915937350 0 733 846 1
1594915937357 0 734 844 1
1594915937368 0 735 842 1
1594915937381 0 733 841 1
1594915937394 0 731 839 1
1594915937456 0 732 831 1
1594915937468 0 733 830 1
1594915937480 0 734 828 1
1594915937518 0 733 824 1
1594915937530 0 732 823 1
1594915937543 0 730 822 1
1594915937881 0 692 952 -1
1594915937902 0 694 949 -1
1594915937916 0 695 947 -1
1594915937927 0 696 941 -1
1594915937938 0 697 934 -1
1594915937955 0 699 922 -1
1594915937962 0 700 909 -1
1594915937976 0 701 896 -1
1594915937988 0 704 885 -1
1594915938000 0 705 875 -1
1594915938011 0 706 866 -1
1594915938024 0 709 862 -1
1594915938037 0 712 858 -1
1594915938050 0 716 854 -1
1594915938061 0 719 850 -1
1594915938074 0 720 846 -1
1594915938086 0 721 843 -1
1594915938099 0 726 839 -1
1594915938436 0 684 973 1
1594915938471 0 686 971 1
1594915938519 0 687 951 1
1594915938531 0 689 938 1
1594915938542 0 691 927 1
1594915938556 0 694 917 1
1594915938569 0 697 908 1
1594915938581 0 699 900 1
1594915938592 0 702 894 1
1594915938603 0 704 886 1
1594915938617 0 708 880 1
1594915938629 0 713 873 1
1594915938640 0 719 865 1
1594915938655 0 726 856 1
1594915938973 0 683 987 1
1594915938996 0 684 984 1
1594915939009 0 686 977 1
1594915939020 0 690 965 1
1594915939032 0 694 948 1
1594915939045 0 700 918 1
1594915939058 0 711 891 1
1594915939354 0 680 979 -1
1594915939414 0 682 976 -1
1594915939427 0 683 974 -1
1594915939438 0 684 971 -1
1594915939451 0 685 965 -1
1594915939462 0 686 959 -1
1594915939475 0 687 952 -1
1594915939488 0 688 946 -1
1594915939499 0 689 939 -1
1594915939512 0 690 933 -1
1594915939524 0 691 928 -1
1594915939536 0 692 924 -1
1594915939550 0 693 921 -1
1594915939561 0 694 918 -1
1594915939572 0 695 916 -1
1594915939586 0 696 915 -1
1594915939633 0 697 912 -1
1594915939792 0 698 908 -1
1594915939803 0 699 906 -1
1594915939828 0 700 899 -1
1594915939841 0 701 894 -1
1594915939852 0 703 887 -1
1594915939865 0 705 882 -1
1594915939877 0 708 876 -1
1594915939888 0 713 868 -1
1594915939900 0 721 859 -1
1594915939913 0 732 846 -1
1594915940347 0 682 959 1
1594915940395 0 683 957 1
1594915940406 0 684 956 1
1594915940419 0 685 955 1
1594915940430 0 686 953 1
1594915940441 0 687 951 1
1594915940454 0 688 947 1
1594915940478 0 689 940 1
1594915940490 0 690 936 1
1594915940672 0 691 915 1
1594915940733 0 692 906 1
1594915940769 0 693 899 1
1594915940795 0 694 893 1
1594915940820 0 695 884 1
1594915940830 0 698 877 1
1594915940843 0 702 872 1
